--------- beginning of /dev/log/main
04-26 15:27:44.120 E/GeckoConsole( 1030): [JavaScript Warning: "Unknown property 'box-sizing'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/jquery.mobile-1.3.1.min.css" line: 3 column: 87193 source: ".ui-bar-a{border:1px solid #333;background:#111;color:#fff;font-weight:700;text-shadow:0 -1px 0 #000;background-image:-webkit-gradient(linear,left top,left bottom,from(#3c3c3c),to(#111));background-image:-webkit-linear-gradient(#3c3c3c,#111);background-image:-moz-linear-gradient(#3c3c3c,#111);background-image:-ms-linear-gradient(#3c3c3c,#111);background-image:-o-linear-gradient(#3c3c3c,#111);background-image:linear-gradient(#3c3c3c,#111)}.ui-bar-a,.ui-bar-a input,.ui-bar-a select,.ui-bar-a textarea,.ui-bar-a button{font-family:Helvetica,Arial,sans-serif}.ui-bar-a .ui-link-inherit{color:#fff}.ui-bar-a a.ui-link{color:#7cc4e7;font-weight:700}.ui-bar-a a.ui-link:visited{color:#2489ce}.ui-bar-a a.ui-link:hover{color:#2489ce}.ui-bar-a a.ui-link:active{color:#2489ce}.ui-body-a,.ui-overlay-a{border:1px solid #444;background:#222;col
04-26 15:27:44.210 E/GeckoConsole( 1030): [JavaScript Warning: "Unknown property '-moz-box-shadow'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main.css" line: 65 column: 16 source: "	-moz-box-shadow: 0 -0.2em 10px rgba(0, 0, 0, 0.6);"}]
04-26 15:27:44.210 E/GeckoConsole( 1030): [JavaScript Warning: "Unknown property '-moz-box-shadow'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main.css" line: 70 column: 16 source: "	-moz-box-shadow: inset 0 8px 8px -8px rgba(255, 255, 255, 0.3);"}]
04-26 15:27:44.210 E/GeckoConsole( 1030): [JavaScript Warning: "Unknown property '-moz-box-shadow'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main.css" line: 81 column: 16 source: "	-moz-box-shadow: 0 2px 2px 0px rgba(0, 0, 0, 0.3);"}]
04-26 15:27:44.210 E/GeckoConsole( 1030): [JavaScript Warning: "Unknown property '-moz-border-radius'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main.css" line: 90 column: 19 source: "	-moz-border-radius: 3px;"}]
04-26 15:27:44.210 E/GeckoConsole( 1030): [JavaScript Warning: "Unknown property 'box-sizing'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main.css" line: 161 column: 11 source: "	box-sizing: border-box;"}]
04-26 15:27:44.210 E/GeckoConsole( 1030): [JavaScript Warning: "Unknown property 'box-sizing'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main.css" line: 191 column: 11 source: "	box-sizing:border-box!important;"}]
04-26 15:27:44.220 E/GeckoConsole( 1030): [JavaScript Warning: "Unknown property 'box-sizing'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main.css" line: 224 column: 11 source: "	box-sizing:border-box;"}]
04-26 15:27:44.220 E/GeckoConsole( 1030): [JavaScript Warning: "Unknown property '-moz-border-radius-topleft'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main.css" line: 239 column: 27 source: "	-moz-border-radius-topleft: 3px;"}]
04-26 15:27:44.220 E/GeckoConsole( 1030): [JavaScript Warning: "Unknown property '-moz-border-radius-topright'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main.css" line: 244 column: 28 source: "	-moz-border-radius-topright: 3px;"}]
04-26 15:27:44.220 E/GeckoConsole( 1030): [JavaScript Warning: "Error in parsing value for 'background'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main.css" line: 260 column: 13 source: "	background: -webkit-gradient(linear, left top, left bottom, color-stop(0%,rgba(0, 0, 0, 0.3)), color-stop(100%,transparent));"}]
04-26 15:27:44.220 E/GeckoConsole( 1030): [JavaScript Warning: "Error in parsing value for 'background'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main.css" line: 261 column: 13 source: "	background: -webkit-linear-gradient(top, rgba(0, 0, 0, 0.3) 0%,transparent 100%);"}]
04-26 15:27:44.220 E/GeckoConsole( 1030): [JavaScript Warning: "Error in parsing value for 'background'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main.css" line: 262 column: 13 source: "	background: -o-linear-gradient(top, rgba(0, 0, 0, 0.3) 0%,transparent 100%);"}]
04-26 15:27:44.220 E/GeckoConsole( 1030): [JavaScript Warning: "Error in parsing value for 'background'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main.css" line: 263 column: 13 source: "	background: -ms-linear-gradient(top, rgba(0, 0, 0, 0.3) 0%,transparent 100%);"}]
04-26 15:27:44.220 E/GeckoConsole( 1030): [JavaScript Warning: "Expected 'none' or URL but found 'progid'.  Error in parsing value for 'filter'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main.css" line: 265 column: 9 source: "	filter: progid:DXImageTransform.Microsoft.gradient( startColorstr='#a6000000', endColorstr='#00000000',GradientType=0 );"}]
04-26 15:27:44.220 E/GeckoConsole( 1030): [JavaScript Warning: "Unknown property '-moz-box-shadow'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main.css" line: 267 column: 16 source: "	-moz-box-shadow: inset 0 7px 30px 0 rgba(0,0,0,0.5);"}]
04-26 15:27:44.220 E/GeckoConsole( 1030): [JavaScript Warning: "Unknown property '-moz-box-shadow'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main.css" line: 272 column: 16 source: "	-moz-box-shadow: inset 0 7px 30px 0 rgba(0,0,0,0.5);"}]
04-26 15:27:44.220 E/GeckoConsole( 1030): [JavaScript Warning: "Unknown property '-moz-border-radius'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main.css" line: 281 column: 19 source: "	-moz-border-radius: 0;"}]
04-26 15:27:44.220 E/GeckoConsole( 1030): [JavaScript Warning: "Unknown property '-moz-border-radius-bottomright'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main.css" line: 285 column: 31 source: "	-moz-border-radius-bottomright: 0;"}]
04-26 15:27:44.220 E/GeckoConsole( 1030): [JavaScript Warning: "Unknown property '-moz-border-radius-bottomleft'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main.css" line: 290 column: 30 source: "	-moz-border-radius-bottomleft: 0;"}]
04-26 15:27:44.220 E/GeckoConsole( 1030): [JavaScript Warning: "Unknown property '-moz-border-top-left-radius'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main.css" line: 296 column: 28 source: "	-moz-border-top-left-radius: 0;"}]
04-26 15:27:44.220 E/GeckoConsole( 1030): [JavaScript Warning: "Expected media feature name but found '-webkit-min-device-pixel-ratio'." {file: "http://vit.sportv.utouchlabs.com/core/css/main.css" line: 350 column: 44 source: "@media only screen and (min-width: 640px), (-webkit-min-device-pixel-ratio: 2)  {"}]
04-26 15:27:44.220 E/GeckoConsole( 1030): [JavaScript Warning: "Unknown property 'box-sizing'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main.css" line: 447 column: 12 source: "		box-sizing: border-box;"}]
04-26 15:27:44.230 E/GeckoConsole( 1030): [JavaScript Warning: "Expected declaration but found '/'.  Skipped to next declaration." {file: "http://vit.sportv.utouchlabs.com/core/css/main.css" line: 633 column: 30 source: "	border-bottom:1px solid #CCC;/	"}]
04-26 15:27:44.230 E/GeckoConsole( 1030): [JavaScript Warning: "Error in parsing value for 'background'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main.css" line: 643 column: 13 source: "	background: -webkit-gradient(linear, left top, left bottom, color-stop(0%,rgba(255,255,255,1)), color-stop(100%,rgba(229,229,229,1))); /* Chrome,Safari4+ */"}]
04-26 15:27:44.230 E/GeckoConsole( 1030): [JavaScript Warning: "Error in parsing value for 'background'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main.css" line: 644 column: 13 source: "	background: -webkit-linear-gradient(top, rgba(255,255,255,1) 0%,rgba(229,229,229,1) 100%); /* Chrome10+,Safari5.1+ */"}]
04-26 15:27:44.230 E/GeckoConsole( 1030): [JavaScript Warning: "Error in parsing value for 'background'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main.css" line: 645 column: 13 source: "	background: -o-linear-gradient(top, rgba(255,255,255,1) 0%,rgba(229,229,229,1) 100%); /* Opera 11.10+ */"}]
04-26 15:27:44.230 E/GeckoConsole( 1030): [JavaScript Warning: "Error in parsing value for 'background'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main.css" line: 646 column: 13 source: "	background: -ms-linear-gradient(top, rgba(255,255,255,1) 0%,rgba(229,229,229,1) 100%); /* IE10+ */"}]
04-26 15:27:44.230 E/GeckoConsole( 1030): [JavaScript Warning: "Expected 'none' or URL but found 'progid'.  Error in parsing value for 'filter'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main.css" line: 648 column: 9 source: "	filter: progid:DXImageTransform.Microsoft.gradient( startColorstr='#ffffff', endColorstr='#e5e5e5',GradientType=0 ); /* IE6-9 */"}]
04-26 15:27:44.230 E/GeckoConsole( 1030): [JavaScript Warning: "Unknown property 'box-sizing'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main.css" line: 813 column: 11 source: "	box-sizing:border-box;"}]
04-26 15:27:44.240 E/GeckoConsole( 1030): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main-smartphone.css" line: 12 column: 21 source: "			background-image: -webkit-gradient(linear, left top, left bottom, color-stop(54%,rgba(255,255,255,1)), color-stop(55%,rgba(245,245,245,1)), color-stop(100%,rgba(240,240,240,1)));"}]
04-26 15:27:44.240 E/GeckoConsole( 1030): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main-smartphone.css" line: 13 column: 21 source: "			background-image: -webkit-linear-gradient(top,  rgba(255,255,255,1) 54%,rgba(245,245,245,1) 55%,rgba(240,240,240,1) 100%);"}]
04-26 15:27:44.240 E/GeckoConsole( 1030): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main-smartphone.css" line: 14 column: 21 source: "			background-image: -o-linear-gradient(top,  rgba(255,255,255,1) 54%,rgba(245,245,245,1) 55%,rgba(240,240,240,1) 100%);"}]
04-26 15:27:44.240 E/GeckoConsole( 1030): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main-smartphone.css" line: 15 column: 21 source: "			background-image: -ms-linear-gradient(top,  rgba(255,255,255,1) 54%,rgba(245,245,245,1) 55%,rgba(240,240,240,1) 100%);"}]
04-26 15:27:44.240 E/GeckoConsole( 1030): [JavaScript Warning: "Expected 'none' or URL but found 'progid'.  Error in parsing value for 'filter'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main-smartphone.css" line: 17 column: 11 source: "			filter: progid:DXImageTransform.Microsoft.gradient( startColorstr='#ffffff', endColorstr='#f0f0f0',GradientType=0 );"}]
04-26 15:27:44.240 E/GeckoConsole( 1030): [JavaScript Warning: "Expected ',' or '{' but found '/'.  Ruleset ignored due to bad selector." {file: "http://vit.sportv.utouchlabs.com/core/css/main-smartphone.css" line: 110 column: 4 source: "		}*/"}]
04-26 15:27:44.240 E/GeckoConsole( 1030): [JavaScript Warning: "Unknown property 'box-sizing'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main-smartphone.css" line: 150 column: 13 source: "			box-sizing: border-box;"}]
04-26 15:27:44.240 E/GeckoConsole( 1030): [JavaScript Warning: "Unknown property 'box-sizing'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main-tablet.css" line: 71 column: 12 source: "		box-sizing:border-box;"}]
04-26 15:27:44.240 E/GeckoConsole( 1030): [JavaScript Warning: "Unknown property 'box-sizing'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main-tablet.css" line: 76 column: 12 source: "		box-sizing:border-box;"}]
04-26 15:27:44.240 E/GeckoConsole( 1030): [JavaScript Warning: "Unknown property '-moz-border-radius'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main-tablet.css" line: 97 column: 19 source: "	-moz-border-radius: 3px;"}]
04-26 15:27:44.240 E/GeckoConsole( 1030): [JavaScript Warning: "Error in parsing value for 'background'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main-tablet.css" line: 107 column: 13 source: "	background: -webkit-gradient(linear, left top, left bottom, color-stop(0%,#fbfbfb), color-stop(100%,#ededed));"}]
04-26 15:27:44.240 E/GeckoConsole( 1030): [JavaScript Warning: "Error in parsing value for 'background'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main-tablet.css" line: 108 column: 13 source: "	background: -webkit-linear-gradient(top, #fbfbfb 0%,#ededed 100%);"}]
04-26 15:27:44.240 E/GeckoConsole( 1030): [JavaScript Warning: "Error in parsing value for 'background'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main-tablet.css" line: 109 column: 13 source: "	background: -o-linear-gradient(top, #fbfbfb 0%,#ededed 100%);"}]
04-26 15:27:44.240 E/GeckoConsole( 1030): [JavaScript Warning: "Error in parsing value for 'background'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main-tablet.css" line: 110 column: 13 source: "	background: -ms-linear-gradient(top, #fbfbfb 0%,#ededed 100%);"}]
04-26 15:27:44.240 E/GeckoConsole( 1030): [JavaScript Warning: "Expected 'none' or URL but found 'progid'.  Error in parsing value for 'filter'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main-tablet.css" line: 112 column: 9 source: "	filter: progid:DXImageTransform.Microsoft.gradient( startColorstr='#fbfbfb', endColorstr='#ededed',GradientType=0 );"}]
04-26 15:27:44.240 E/GeckoConsole( 1030): [JavaScript Warning: "Error in parsing value for 'background'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main-tablet.css" line: 118 column: 13 source: "	background: -webkit-gradient(linear, left top, left bottom, color-stop(0%,#f0f0f0), color-stop(100%,#dfdfdf));"}]
04-26 15:27:44.250 E/GeckoConsole( 1030): [JavaScript Warning: "Error in parsing value for 'background'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main-tablet.css" line: 119 column: 13 source: "	background: -webkit-linear-gradient(top, #f0f0f0 0%,#dfdfdf 100%);"}]
04-26 15:27:44.250 E/GeckoConsole( 1030): [JavaScript Warning: "Error in parsing value for 'background'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main-tablet.css" line: 120 column: 13 source: "	background: -o-linear-gradient(top, #f0f0f0 0%,#dfdfdf 100%);"}]
04-26 15:27:44.250 E/GeckoConsole( 1030): [JavaScript Warning: "Error in parsing value for 'background'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main-tablet.css" line: 121 column: 13 source: "	background: -ms-linear-gradient(top, #f0f0f0 0%,#dfdfdf 100%);"}]
04-26 15:27:44.250 E/GeckoConsole( 1030): [JavaScript Warning: "Expected 'none' or URL but found 'progid'.  Error in parsing value for 'filter'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main-tablet.css" line: 123 column: 9 source: "	filter: progid:DXImageTransform.Microsoft.gradient( startColorstr='#f0f0f0', endColorstr='#dfdfdf',GradientType=0 );"}]
04-26 15:27:44.250 E/GeckoConsole( 1030): [JavaScript Warning: "Unknown property 'box-sizing'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main-tablet.css" line: 153 column: 13 source: "			box-sizing: border-box;	"}]
04-26 15:27:44.260 E/GeckoConsole( 1030): [JavaScript Warning: "Unknown property 'box-sizing'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/main-tablet.css" line: 196 column: 11 source: "	box-sizing: border-box;"}]
04-26 15:27:44.260 E/GeckoConsole( 1030): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/vitoria/team.css" line: 10 column: 19 source: "	background-image: -webkit-gradient(linear, left top, left bottom, color-stop(0%,#670508), color-stop(20%,#af1215));"}]
04-26 15:27:44.260 E/GeckoConsole( 1030): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/vitoria/team.css" line: 11 column: 19 source: "	background-image: -webkit-linear-gradient(top, #670508 0%,#af1215 20%);"}]
04-26 15:27:44.260 E/GeckoConsole( 1030): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/vitoria/team.css" line: 12 column: 19 source: "	background-image: -o-linear-gradient(top, #670508 0%,#af1215 20%);"}]
04-26 15:27:44.260 E/GeckoConsole( 1030): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/vitoria/team.css" line: 13 column: 19 source: "	background-image: -ms-linear-gradient(top, #670508 0%,#af1215 20%);"}]
04-26 15:27:44.260 E/GeckoConsole( 1030): [JavaScript Warning: "Expected 'none' or URL but found 'progid'.  Error in parsing value for 'filter'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/vitoria/team.css" line: 15 column: 9 source: "	filter: progid:DXImageTransform.Microsoft.gradient( startColorstr='#670508', endColorstr='#af1215',GradientType=0 );"}]
04-26 15:27:44.260 E/GeckoConsole( 1030): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/vitoria/team.css" line: 21 column: 19 source: "	background-image: -webkit-gradient(linear, left top, left bottom, color-stop(0%,#252525), color-stop(100%,#2d2d2d));"}]
04-26 15:27:44.260 E/GeckoConsole( 1030): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/vitoria/team.css" line: 22 column: 19 source: "	background-image: -webkit-linear-gradient(top, #252525 0%,#2d2d2d 100%);"}]
04-26 15:27:44.260 E/GeckoConsole( 1030): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/vitoria/team.css" line: 23 column: 19 source: "	background-image: -o-linear-gradient(top, #252525 0%,#2d2d2d 100%);"}]
04-26 15:27:44.260 E/GeckoConsole( 1030): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/vitoria/team.css" line: 24 column: 19 source: "	background-image: -ms-linear-gradient(top, #252525 0%,#2d2d2d 100%);"}]
04-26 15:27:44.260 E/GeckoConsole( 1030): [JavaScript Warning: "Expected 'none' or URL but found 'progid'.  Error in parsing value for 'filter'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/vitoria/team.css" line: 26 column: 9 source: "	filter: progid:DXImageTransform.Microsoft.gradient( startColorstr='#252525', endColorstr='#2d2d2d',GradientType=0 );"}]
04-26 15:27:44.270 E/GeckoConsole( 1030): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/vitoria/team.css" line: 34 column: 19 source: "	background-image: -webkit-gradient(linear, left top, left bottom, color-stop(0%,#fd1200), color-stop(100%,#a40000));"}]
04-26 15:27:44.270 E/GeckoConsole( 1030): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/vitoria/team.css" line: 35 column: 19 source: "	background-image: -webkit-linear-gradient(top, #fd1200 0%,#a40000 100%);"}]
04-26 15:27:44.270 E/GeckoConsole( 1030): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "http://vit.sportv.utouchlabs.com/core/css/vitoria/team.css" line: 36 column: 19 source: "	background-image: -o-linear-gradient(top, #fd1200 0%,#a40000 100%);"}]
