--------- beginning of /dev/log/system
01-01 00:37:22.550 I/Vold    (   75): Vold 2.1 (the revenge) firing up
01-01 00:37:22.550 D/Vold    (   75): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
01-01 00:37:22.650 D/Vold    (   75): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
01-01 00:37:22.670 D/Vold    (   75): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
01-01 00:37:27.700 D/VoldCmdListener(   75): volume list
01-01 00:37:27.710 D/VoldCmdListener(   75): volume mount sdcard
01-01 00:37:27.710 I/Vold    (   75): /dev/block/vold/179:1 being considered for volume sdcard
01-01 00:37:27.710 D/Vold    (   75): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
01-01 00:37:27.710 W/Vold    (   75): Skipping fs checks
01-01 00:37:27.760 I/Vold    (   75): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
01-01 00:37:27.760 D/Vold    (   75): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 35
01-01 00:37:38.970 D/SPRDENG (  154): 38
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 38
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 34
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 36
01-01 00:37:38.970 D/SPRDENG (  154): 38
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 38
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 34
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 35
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 38
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 38
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 34
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 36
01-01 00:37:38.970 D/SPRDENG (  154): 38
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 38
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 33
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 38
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 38
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 33
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 38
01-01 00:37:38.970 D/SPRDENG (  154): 38
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 38
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 33
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 65
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 66
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 31
01-01 00:37:38.970 D/SPRDENG (  154): 35
01-01 00:37:38.970 D/SPRDENG (  154): 62
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 65
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 66
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 31
01-01 00:37:38.970 D/SPRDENG (  154): 35
01-01 00:37:38.970 D/SPRDENG (  154): 62
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 65
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 66
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 31
01-01 00:37:38.970 D/SPRDENG (  154): 35
01-01 00:37:38.970 D/SPRDENG (  154): 62
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 65
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 66
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 31
01-01 00:37:38.970 D/SPRDENG (  154): 35
01-01 00:37:38.970 D/SPRDENG (  154): 62
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 65
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 66
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 31
01-01 00:37:38.970 D/SPRDENG (  154): 35
01-01 00:37:38.970 D/SPRDENG (  154): 62
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 65
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 66
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 31
01-01 00:37:38.970 D/SPRDENG (  154): 35
01-01 00:37:38.970 D/SPRDENG (  154): 62
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 65
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 66
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 31
01-01 00:37:38.970 D/SPRDENG (  154): 35
01-01 00:37:38.970 D/SPRDENG (  154): 62
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 65
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 66
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 31
01-01 00:37:38.970 D/SPRDENG (  154): 35
01-01 00:37:38.970 D/SPRDENG (  154): 62
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 65
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 66
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 31
01-01 00:37:38.970 D/SPRDENG (  154): 35
01-01 00:37:38.970 D/SPRDENG (  154): 62
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 66
01-01 00:37:38.970 D/SPRDENG (  154): 38
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 32
01-01 00:37:38.970 D/SPRDENG (  154): 35
01-01 00:37:38.970 D/SPRDENG (  154): 62
01-01 00:37:38.970 D/SPRDENG (  154): 38
01-01 00:37:38.970 D/SPRDENG (  154): 31
01-01 00:37:38.970 D/SPRDENG (  154): 38
01-01 00:37:38.970 D/SPRDENG (  154): 33
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 35
01-01 00:37:38.970 D/SPRDENG (  154): 62
01-01 00:37:38.970 D/SPRDENG (  154): 38
01-01 00:37:38.970 D/SPRDENG (  154): 35
01-01 00:37:38.970 D/SPRDENG (  154): 38
01-01 00:37:38.970 D/SPRDENG (  154): 38
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 35
01-01 00:37:38.970 D/SPRDENG (  154): 61
01-01 00:37:38.970 D/SPRDENG (  154): 38
01-01 00:37:38.970 D/SPRDENG (  154): 63
01-01 00:37:38.970 D/SPRDENG (  154): 39
01-01 00:37:38.970 D/SPRDENG (  154): 32
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 35
01-01 00:37:38.970 D/SPRDENG (  154): 62
01-01 00:37:38.970 D/SPRDENG (  154): 39
01-01 00:37:38.970 D/SPRDENG (  154): 63
01-01 00:37:38.970 D/SPRDENG (  154): 61
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 35
01-01 00:37:38.970 D/SPRDENG (  154): 63
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 65
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 66
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 38
01-01 00:37:38.970 D/SPRDENG (  154): 36
01-01 00:37:38.970 D/SPRDENG (  154): 34
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 66
01-01 00:37:38.970 D/SPRDENG (  154): 38
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 38
01-01 00:37:38.970 D/SPRDENG (  154): 36
01-01 00:37:38.970 D/SPRDENG (  154): 34
01-01 00:37:38.970 D/SPRDENG (  154): 38
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 38
01-01 00:37:38.970 D/SPRDENG (  154): 32
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 38
01-01 00:37:38.970 D/SPRDENG (  154): 36
01-01 00:37:38.970 D/SPRDENG (  154): 34
01-01 00:37:38.970 D/SPRDENG (  154): 38
01-01 00:37:38.970 D/SPRDENG (  154): 34
01-01 00:37:38.970 D/SPRDENG (  154): 38
01-01 00:37:38.970 D/SPRDENG (  154): 63
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 38
01-01 00:37:38.970 D/SPRDENG (  154): 36
01-01 00:37:38.970 D/SPRDENG (  154): 30
01-01 00:37:38.970 D/SPRDENG (  154): 38
01-01 00:37:38.970 D/SPRDENG (  154): 65
01-01 00:37:38.970 D/SPRDENG (  154): 39
01-01 00:37:38.970 D/SPRDENG (  154): 31
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.970 D/SPRDENG (  154): 37
01-01 00:37:38.980 D/SPRDENG (  154): 36
01-01 00:37:38.980 D/SPRDENG (  154): 34
01-01 00:37:38.980 D/SPRDENG (  154): 38
01-01 00:37:38.980 D/SPRDENG (  154): 35
01-01 00:37:38.980 D/SPRDENG (  154): 61
01-01 00:37:38.980 D/SPRDENG (  154): 30
01-01 00:37:38.980 D/SPRDENG (  154): 37
01-01 00:37:38.980 D/SPRDENG (  154): 63
01-01 00:37:38.980 D/SPRDENG (  154): 36
01-01 00:37:38.980 D/SPRDENG (  154): 34
01-01 00:37:38.980 D/SPRDENG (  154): 37
01-01 00:37:38.980 D/SPRDENG (  154): 65
01-01 00:37:38.980 D/SPRDENG (  154): 37
01-01 00:37:38.980 D/SPRDENG (  154): 66
01-01 00:37:38.980 D/SPRDENG (  154): 37
01-01 00:37:38.980 D/SPRDENG (  154): 63
01-01 00:37:38.980 D/SPRDENG (  154): 36
01-01 00:37:38.980 D/SPRDENG (  154): 39
01-01 00:37:38.980 D/SPRDENG (  154): 37
01-01 00:37:38.980 D/SPRDENG (  154): 66
01-01 00:37:38.980 D/SPRDENG (  154): 38
01-01 00:37:38.980 D/SPRDENG (  154): 30
01-01 00:37:38.980 D/SPRDENG (  154): 37
01-01 00:37:38.980 D/SPRDENG (  154): 62
01-01 00:37:38.980 D/SPRDENG (  154): 36
01-01 00:37:38.980 D/SPRDENG (  154): 38
